Nombre,url
.DS_Store,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2F.DS_Store
.png,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2F.png
Academia Puerto Cabello,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FAcademia+Puerto+Cabello.png
Alianza Lima,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FAlianza+Lima.png
Always Ready,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FAlways+Ready.png
Atlético Mineiro,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FAtl%C3%A9tico+Mineiro.png
Aucas,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FAucas.png
Aurora,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FAurora.png
Barcelona S.C,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FBarcelona+S.C.png
Bolívar,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FBol%C3%ADvar.png
Botafogo,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FBotafogo.png
Bragantino,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FBragantino.png
CD El Nacional,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FCD+El+Nacional.png
Caracas Fútbol Club,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FCaracas+F%C3%BAtbol+Club.png
Cerro Porteño,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FCerro+Porte%C3%B1o.png
Club Nacional,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FClub+Nacional.png
Cobresal,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FCobresal.png
Colo Colo,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FColo+Colo.png
Defensor Sporting,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FDefensor+Sporting.png
Deportivo Táchira,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FDeportivo+T%C3%A1chira.png
Estudiantes,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FEstudiantes.png
FBC Melgar,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FFBC+Melgar.png
Flamengo,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FFlamengo.png
Fluminense,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FFluminense.png
Godoy Cruz,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FGodoy+Cruz.png
Gremio de Porto Alegre,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FGremio+de+Porto+Alegre.png
Huachipato,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FHuachipato.png
Independiente del Valle,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FIndependiente+del+Valle.png
Junior,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FJunior.png
Libertad,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FLibertad.png
Liga Quito,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FLiga+Quito.png
Liverpool F.C,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FLiverpool+F.C.png
Millonarios,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FMillonarios.png
Nacional de Montevideo,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FNacional+de+Montevideo.png
Nacional,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FNacional.png
Palestino,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FPalestino.png
Palmeiras,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FPalmeiras.png
Peñarol,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FPe%C3%B1arol.png
Portuguesa F.C,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FPortuguesa+F.C.png
Portuguesa de Desportos,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FPortuguesa+de+Desportos.png
Rionegro Águilas,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FRionegro+%C3%81guilas.png
River Plate,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FRiver+Plate.png
Rosario Central,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FRosario+Central.png
San Lorenzo de Almagro,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FSan+Lorenzo+de+Almagro.png
Sporting Cristal,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FSporting+Cristal.png
Sportivo Trinidense,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FSportivo+Trinidense.png
São Paulo,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FS%C3%A3o+Paulo.png
Talleres,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FTalleres.png
The Strongest,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FThe+Strongest.png
Universitario de Deportes,https://sbstatsimages.s3.amazonaws.com/logos_libertadores2024%2FUniversitario+de+Deportes.png
